iter	Logloss
0	0.5626569168
1	0.4976163245
2	0.4654938549
3	0.4480901631
4	0.4402126789
5	0.4343004706
6	0.4306591893
7	0.425820641
8	0.4232516331
9	0.4215039584
10	0.418103647
11	0.4170414635
12	0.4152514981
13	0.4136397189
14	0.4126321996
15	0.4107062472
16	0.4100619772
17	0.4092174949
18	0.4082758173
19	0.4076601277
20	0.4064656318
21	0.4060459556
22	0.4054097013
23	0.4044409634
24	0.4036266301
25	0.4031674144
26	0.4025576608
27	0.4018379031
28	0.4013085698
29	0.4007829449
30	0.400139167
31	0.3995590049
32	0.3991496319
33	0.3983316319
34	0.3977199024
