iter	Passed	Remaining
0	240	239781
1	414	206921
2	884	294110
3	1240	308763
4	1633	325162
5	1886	312603
6	2167	307433
7	2364	293183
8	2570	282995
9	2826	279849
10	3058	274942
11	3417	281403
12	3620	274871
13	4077	287165
14	4451	292288
15	4642	285518
16	4829	279250
17	5069	276571
18	5294	273388
19	5483	268694
20	5678	264724
21	5863	260665
22	6046	256851
23	6250	254189
24	6441	251219
25	6631	248431
26	6810	245427
27	6991	242707
28	7214	241572
29	7395	239128
30	7591	237296
31	7755	234609
32	7933	232489
33	8121	230750
34	8309	229096
35	8516	228044
36	8703	226514
37	8904	225425
38	9172	226021
39	9359	224624
40	9554	223493
41	9763	222696
42	9950	221458
43	10154	220634
44	10339	219427
45	10526	218317
46	10754	218072
47	10942	217019
48	11180	216996
49	11361	215868
50	11555	215030
51	11735	213941
52	11913	212875
53	12080	211623
54	12261	210680
55	12450	209876
56	12623	208840
57	12817	208180
58	12988	207155
59	13243	207486
60	13437	206850
61	13613	205959
62	13791	205115
63	13965	204247
64	14154	203607
65	14337	202891
66	14506	202004
67	14705	201545
68	14874	200697
69	15076	200299
70	15304	200253
71	15487	199612
72	15655	198803
73	15856	198419
74	16045	197897
75	16236	197403
76	16428	196930
77	16610	196343
78	16799	195849
79	16974	195211
80	17213	195300
81	17408	194892
82	17586	194302
83	17773	193811
84	17951	193246
85	18117	192550
86	18301	192056
87	18480	191528
88	18679	191206
89	18881	190912
90	19056	190354
91	19266	190152
92	19456	189754
93	19628	189180
94	19803	188657
95	19983	188175
96	20171	187778
97	20369	187484
98	20569	187199
99	20746	186718
100	20922	186229
101	21113	185877
102	21335	185808
103	21577	185897
104	21773	185595
105	21947	185106
106	22139	184769
107	22355	184639
108	22592	184680
109	22787	184373
110	23017	184349
111	23294	184692
112	23468	184220
113	23656	183859
114	23824	183346
115	24004	182927
116	24190	182565
117	24376	182205
118	24564	181860
119	24770	181650
120	24947	181229
121	25138	180912
122	25458	181523
123	25667	181329
124	25851	180962
125	26045	180663
126	26240	180380
127	26426	180029
128	26647	179919
129	26841	179633
130	27040	179372
131	27277	179373
132	27452	178959
133	27647	178676
134	27820	178258
135	27989	177813
136	28173	177474
137	28363	177167
138	28549	176841
139	28749	176602
140	28914	176152
141	29087	175753
142	29320	175714
143	29500	175364
144	29683	175033
145	29866	174700
146	30038	174305
147	30229	174025
148	30416	173722
149	30602	173412
150	30816	173264
151	31011	173012
152	31230	172889
153	31452	172785
154	31633	172455
155	31800	172051
156	31979	171710
157	32168	171428
158	32357	171146
159	32552	170901
160	32749	170664
161	32969	170546
162	33145	170199
163	33366	170085
164	33536	169713
165	33704	169335
166	33875	168973
167	34062	168690
168	34242	168374
169	34425	168078
170	34628	167875
171	34859	167811
172	35048	167545
173	35252	167350
174	35466	167197
175	35686	167075
176	35864	166757
177	36050	166480
178	36241	166225
179	36406	165849
180	36583	165533
181	36784	165327
182	36993	165158
183	37180	164887
184	37411	164812
185	37597	164538
186	37776	164235
187	37963	163971
188	38140	163663
189	38325	163388
190	38487	163017
191	38686	162805
192	38901	162660
193	39098	162440
194	39320	162321
195	39538	162189
196	39743	162001
197	39921	161700
198	40098	161400
199	40289	161158
200	40469	160872
201	40673	160681
202	40875	160480
203	41087	160320
204	41263	160022
205	41500	159956
206	41697	159741
207	41890	159506
208	42073	159236
209	42267	159006
210	42454	158750
211	42637	158484
212	42808	158168
213	43007	157961
214	43188	157687
215	43384	157470
216	43608	157353
217	43778	157038
218	43948	156728
219	44131	156467
220	44315	156208
221	44493	155926
222	44668	155638
223	44869	155439
224	45072	155249
225	45261	155010
226	45468	154831
227	45684	154686
228	45873	154447
229	46047	154157
230	46231	153906
231	46411	153637
232	46599	153399
233	46768	153095
234	46974	152917
235	47186	152756
236	47368	152499
237	47599	152397
238	47777	152128
239	47958	151869
240	48152	151650
241	48332	151388
242	48529	151181
243	48714	150933
244	48878	150625
245	49090	150465
246	49277	150225
247	49477	150027
248	49683	149847
249	49899	149699
250	50076	149430
251	50249	149153
252	50419	148865
253	50609	148640
254	50794	148400
255	51006	148237
256	51222	148087
257	51424	147896
258	51652	147777
259	51841	147547
260	52038	147343
261	52224	147105
262	52415	146883
263	52599	146639
264	52779	146389
265	52970	146167
266	53182	146002
267	53360	145745
268	53553	145529
269	53785	145420
270	53971	145184
271	54155	144944
272	54337	144700
273	54524	144469
274	54691	144186
275	54875	143947
276	55071	143743
277	55265	143532
278	55445	143284
279	55775	143423
280	55974	143223
281	56161	142991
282	56355	142779
283	56540	142546
284	56711	142277
285	56893	142033
286	57086	141820
287	57308	141680
288	57443	141322
289	57650	141145
290	57947	141184
291	58132	140951
292	58326	140741
293	58510	140503
294	58697	140276
295	58897	140079
296	59087	139859
297	59331	139768
298	59504	139506
299	59716	139338
300	59921	139154
301	60088	138878
302	60270	138641
303	60463	138429
304	60656	138217
305	60843	137991
306	61006	137712
307	61207	137517
308	61417	137344
309	61586	137078
310	61806	136928
311	61976	136665
312	62169	136454
313	62358	136235
314	62535	135990
315	62720	135762
316	62897	135517
317	63096	135320
318	63336	135210
319	63503	134944
320	63682	134705
321	63895	134537
322	64066	134281
323	64247	134047
324	64429	133815
325	64596	133553
326	64774	133313
327	64948	133066
328	65130	132834
329	65373	132728
330	65548	132483
331	65727	132247
332	65962	132123
333	66151	131907
334	66325	131661
335	66517	131450
336	66710	131244
337	66873	130976
338	67069	130774
339	67260	130564
340	67489	130426
341	67671	130197
342	67858	129979
343	68064	129797
344	68231	129541
345	68411	129308
346	68583	129063
347	68780	128864
348	68967	128646
349	69133	128390
350	69320	128173
351	69543	128022
352	69735	127814
353	69935	127621
354	70142	127442
355	70316	127202
356	70494	126969
357	70705	126795
358	70873	126544
359	71048	126307
360	71234	126091
361	71397	125833
362	71634	125705
363	71813	125475
364	72027	125307
365	72213	125090
366	72394	124866
367	72586	124660
368	72903	124666
369	73220	124672
370	73518	124644
371	73810	124605
372	73998	124388
373	74219	124227
374	74408	124013
375	74590	123788
376	74775	123568
377	74953	123335
378	75135	123111
379	75320	122891
380	75504	122669
381	75758	122561
382	75948	122351
383	76173	122194
384	76352	121965
385	76512	121706
386	76699	121490
387	76877	121260
388	77071	121055
389	77259	120841
390	77435	120609
391	77625	120398
392	77835	120219
393	78016	119994
394	78326	119968
395	78507	119744
396	78701	119538
397	78880	119312
398	79054	119076
399	79241	118861
400	79404	118611
401	79601	118412
402	80007	118522
403	80210	118330
404	80432	118166
405	80654	118001
406	80852	117801
407	81026	117568
408	81203	117338
409	81405	117144
410	81589	116925
411	81782	116719
412	81997	116543
413	82183	116327
414	82362	116101
415	82590	115944
416	82753	115696
417	82941	115482
418	83113	115247
419	83299	115032
420	83479	114809
421	83669	114598
422	83885	114425
423	84242	114442
424	84500	114324
425	84682	114102
426	84906	113937
427	85095	113725
428	85340	113587
429	85527	113373
430	85711	113155
431	85928	112979
432	86183	112854
433	86446	112738
434	86681	112586
435	86883	112390
436	87086	112195
437	87282	111992
438	87464	111771
439	87640	111542
440	87822	111321
441	88032	111136
442	88239	110947
443	88412	110714
444	88590	110489
445	88835	110347
446	89028	110140
447	89222	109935
448	89397	109706
449	89580	109487
450	89764	109270
451	89940	109042
452	90138	108842
453	90359	108670
454	90523	108429
455	90727	108236
456	90917	108026
457	91097	107805
458	91268	107573
459	91450	107355
460	91633	107137
461	91820	106925
462	92009	106714
463	92225	106536
464	92438	106354
465	92607	106120
466	92788	105901
467	92979	105694
468	93187	105506
469	93398	105321
470	93584	105108
471	93752	104875
472	93932	104656
473	94114	104439
474	94334	104264
475	94559	104094
476	94741	103878
477	94961	103703
478	95148	103491
479	95333	103277
480	95514	103059
481	95702	102850
482	95882	102631
483	96058	102409
484	96269	102224
485	96480	102038
486	96657	101817
487	96820	101582
488	97023	101388
489	97216	101184
490	97407	100978
491	97598	100771
492	97781	100558
493	97959	100339
494	98140	100123
495	98341	99927
496	98553	99743
497	98763	99556
498	98938	99335
499	99163	99163
500	99353	98956
501	99533	98740
502	99695	98506
503	99867	98282
504	100050	98069
505	100231	97854
506	100431	97657
507	100696	97525
508	100878	97311
509	101073	97109
510	101298	96936
511	101473	96717
512	101651	96499
513	101830	96283
514	102020	96077
515	102196	95858
516	102374	95642
517	102580	95451
518	102802	95275
519	103000	95077
520	103233	94911
521	103412	94695
522	103585	94475
523	103774	94268
524	103953	94052
525	104133	93838
526	104321	93632
527	104498	93415
528	104753	93267
529	104944	93064
530	105111	92838
531	105317	92647
532	105489	92427
533	105681	92224
534	105874	92021
535	106055	91809
536	106240	91599
537	106434	91399
538	106627	91197
539	106886	91051
540	107082	90852
541	107294	90665
542	107506	90479
543	107698	90276
544	107865	90053
545	108043	89838
546	108226	89628
547	108406	89415
548	108588	89204
549	108805	89022
550	109044	88858
551	109252	88668
552	109515	88523
553	109715	88326
554	109916	88131
555	110125	87941
556	110337	87755
557	110544	87563
558	110761	87380
559	111026	87235
560	111227	87039
561	111390	86813
562	111591	86617
563	111759	86395
564	111940	86184
565	112129	85978
566	112309	85766
567	112475	85544
568	112665	85340
569	112845	85128
570	113106	84978
571	113292	84770
572	113472	84559
573	113699	84383
574	113892	84181
575	114081	83976
576	114268	83770
577	114443	83555
578	114620	83342
579	114813	83140
580	115017	82946
581	115248	82772
582	115428	82562
583	115653	82383
584	115825	82166
585	116006	81957
586	116178	81740
587	116344	81520
588	116505	81296
589	116683	81085
590	116863	80875
591	117055	80673
592	117315	80518
593	117495	80308
594	117693	80110
595	117997	79984
596	118180	79776
597	118360	79566
598	118542	79358
599	118726	79150
600	118951	78971
601	119137	78765
602	119370	78590
603	119556	78384
604	119733	78173
605	119958	77992
606	120169	77803
607	120363	77603
608	120694	77489
609	121052	77394
610	121652	77451
611	121916	77293
612	122351	77243
613	122652	77107
614	122949	76968
615	123145	76765
616	123440	76625
617	123685	76452
618	123905	76264
619	124264	76161
620	124562	76021
621	124759	75818
622	125037	75665
623	125261	75478
624	125489	75293
625	125782	75147
626	126003	74958
627	126269	74796
628	126528	74629
629	126734	74431
630	126914	74217
631	127108	74012
632	127367	73844
633	127588	73654
634	127935	73537
635	128151	73344
636	128378	73157
637	128607	72971
638	128890	72815
639	129177	72662
640	129439	72493
641	129744	72349
642	130085	72224
643	130393	72081
644	130733	71954
645	131019	71796
646	131267	71618
647	131441	71400
648	131706	71230
649	132096	71128
650	132357	70956
651	132647	70799
652	132839	70590
653	133026	70377
654	133215	70167
655	133398	69952
656	133577	69736
657	133764	69525
658	134042	69360
659	134239	69153
660	134409	68933
661	134652	68750
662	134822	68529
663	135014	68320
664	135191	68104
665	135379	67892
666	135593	67695
667	135810	67498
668	136002	67289
669	136274	67120
670	136460	66908
671	136654	66700
672	136911	66523
673	137162	66342
674	137396	66154
675	137579	65940
676	137772	65732
677	138246	65656
678	138448	65452
679	138628	65237
680	138969	65097
681	139301	64953
682	139668	64824
683	140006	64681
684	140187	64465
685	140451	64288
686	140666	64088
687	140906	63899
688	141069	63675
689	141252	63461
690	141464	63259
691	141674	63057
692	141862	62845
693	142064	62639
694	142236	62420
695	142490	62237
696	142678	62025
697	142867	61813
698	143102	61622
699	143274	61403
700	143465	61193
701	143654	60981
702	143838	60768
703	144011	60550
704	144183	60332
705	144374	60122
706	144657	59949
707	144841	59736
708	145018	59520
709	145241	59324
710	145426	59111
711	145647	58913
712	145971	58757
713	146181	58554
714	146361	58339
715	146559	58132
716	146989	58016
717	147265	57839
718	147710	57728
719	147904	57518
720	148122	57317
721	148318	57108
722	148511	56898
723	148741	56702
724	149068	56543
725	149300	56347
726	149559	56162
727	149760	55954
728	149943	55740
729	150126	55526
730	150308	55311
731	150738	55188
732	151039	55017
733	151210	54798
734	151398	54585
735	151656	54398
736	151837	54183
737	152085	53992
738	152406	53827
739	152609	53619
740	152815	53413
741	153289	53300
742	153548	53111
743	153744	52901
744	154000	52711
745	154310	52540
746	154603	52362
747	154983	52213
748	155331	52053
749	155700	51900
750	156056	51741
751	156273	51537
752	156582	51362
753	156937	51202
754	157150	50995
755	157549	50849
756	157820	50661
757	158142	50488
758	158356	50281
759	158682	50110
760	158930	49913
761	159168	49714
762	159560	49562
763	159767	49352
764	160249	49226
765	160451	49015
766	160666	48807
767	160871	48596
768	161117	48398
769	161479	48234
770	161956	48103
771	162341	47945
772	162744	47791
773	163115	47627
774	163297	47408
775	163489	47192
776	163758	46998
777	164210	46856
778	164386	46636
779	164596	46424
780	164820	46217
781	165003	45998
782	165233	45792
783	165437	45579
784	165627	45362
785	165958	45184
786	166174	44974
787	166413	44771
788	166653	44567
789	166855	44353
790	167041	44136
791	167245	43922
792	167421	43702
793	167727	43516
794	168107	43348
795	168385	43153
796	168593	42941
797	169091	42802
798	169621	42670
799	170717	42679
800	170901	42458
801	171639	42374
802	171892	42170
803	172283	41999
804	172744	41844
805	173050	41652
806	173413	41473
807	173712	41278
808	173974	41074
809	174454	40921
810	175021	40787
811	175350	40598
812	175739	40422
813	176177	40256
814	176551	40076
815	177022	39916
816	177858	39838
817	178382	39688
818	179043	39568
819	179378	39375
820	179912	39225
821	180229	39027
822	180451	38809
823	180634	38582
824	180850	38362
825	181203	38171
826	181435	37954
827	181664	37737
828	181878	37516
829	182130	37303
830	182371	37088
831	182547	36860
832	182737	36635
833	182933	36411
834	183157	36192
835	183456	35989
836	183656	35765
837	183898	35550
838	184077	35323
839	184290	35102
840	184500	34881
841	184708	34660
842	184904	34436
843	185107	34214
844	185460	34019
845	185657	33795
846	185858	33573
847	186072	33352
848	186273	33129
849	186454	32903
850	186621	32675
851	186862	32459
852	187197	32260
853	187393	32036
854	187722	31835
855	187973	31621
856	188214	31405
857	188463	31190
858	188778	30986
859	189083	30781
860	189333	30566
861	189855	30394
862	190154	30186
863	190724	30021
864	190984	29806
865	191263	29595
866	191577	29388
867	192135	29218
868	192410	29005
869	192730	28798
870	192999	28584
871	193233	28364
872	193422	28138
873	193697	27924
874	193972	27710
875	194450	27524
876	194847	27327
877	195097	27109
878	195405	26898
879	195681	26683
880	195878	26458
881	196087	26233
882	196446	26029
883	196622	25801
